Iteration	Motor 3	Motor 4	Motor 8
0	-0.261702	1.404712	1.669063
1	0.899160	0.881847	1.100575
2	4.704769	2.615209	-3.246553
3	5.192301	1.749474	-4.944993
4	2.872032	-0.463418	-5.658185
5	5.778690	-3.120807	-8.160538
6	5.967094	-3.323066	-8.997169
7	2.815960	-2.400965	-5.073711
8	0.592534	-6.020766	-5.705540
9	0.666748	-4.407548	-3.921144
10	-3.312730	-1.404279	-0.772719
11	-1.108851	-0.485560	-3.932343
12	0.890473	-3.770086	-1.884287
13	1.859405	-4.378174	-5.086927
14	0.492415	-8.201335	-7.643043
15	-0.374661	-6.330089	-9.681192
16	4.071996	-7.946906	-12.063928
17	6.160362	-4.863654	-7.992567
18	4.489274	-8.623576	-11.698045
19	6.492574	-9.023427	-7.352327
20	3.244687	-5.510323	-3.416162
21	-0.700469	-2.839831	-0.525247
22	-3.776600	-7.014675	2.938464
23	0.308750	-5.310044	7.459442
24	-0.009192	-4.784945	6.302228
25	-0.472287	-6.097225	6.280287
26	-2.478322	-2.267012	5.588820
27	-1.530408	-3.640567	4.900564
28	-3.830932	-0.232720	2.150515
29	-1.320055	-1.012989	-1.700204
30	1.277438	-0.127148	-3.280038
31	-1.536766	-3.021521	-7.305591
32	-1.883652	-6.600345	-8.875060
33	-0.559998	-7.577930	-9.126954
34	-3.503771	-11.939832	-6.265786
35	-5.087687	-8.282780	-2.218273
36	-2.231782	-11.004245	-3.182002
37	-1.227385	-9.348065	-5.161316
38	-4.127180	-5.985749	-5.968789
39	-4.698559	-8.066161	-3.922801
40	-0.420447	-8.390651	-8.448707
41	2.962431	-7.607000	-8.706271
42	3.592759	-6.533682	-10.595947
43	-0.205303	-8.089907	-7.101843
44	-1.123128	-8.186473	-9.508379
45	-1.140190	-5.806704	-5.178545
46	-5.416037	-2.783937	-4.924302
47	-9.001060	-5.860459	-2.355985
48	-9.646547	-10.084535	-6.724560
49	-10.981548	-7.171352	-9.930897
50	-10.155226	-10.386141	-9.565865
51	-9.463159	-12.153130	-7.709622
52	-6.318701	-11.730440	-8.210094
53	-1.935367	-10.336627	-12.090445
54	-0.562924	-8.560549	-9.952766
55	-0.408226	-6.445203	-8.434199
56	3.446562	-7.443622	-6.569125
57	2.939216	-5.397467	-7.724553
58	3.484634	-1.194579	-3.804944
59	0.384062	-4.153533	-7.022214
60	-2.166741	-4.521890	-6.693179
61	-6.078868	-6.739486	-8.637256
62	-2.773259	-8.279497	-4.370205
63	-3.166282	-9.515607	-3.266993
64	-3.696826	-8.663286	-3.804362
65	-1.559942	-10.648379	-2.343525
66	-3.693334	-8.082665	0.435985
67	-0.436206	-3.642938	2.616771
68	-3.331236	-3.786293	4.122597
69	-1.768277	-1.346082	5.763031
70	-2.804552	-4.492634	4.830788
71	1.311213	-3.598839	4.378478
72	1.332193	-5.939974	3.841709
73	-1.152202	-3.951521	3.443849
74	-2.426813	-1.398974	-0.805091
75	0.337098	-1.030682	2.435032
76	0.318071	-3.214348	3.221454
77	-0.021322	0.298691	0.853708
78	1.608593	-4.198384	-1.604425
79	4.220231	0.337413	2.155577
80	5.958430	-1.548546	0.691152
81	2.004302	-0.755098	-3.612219
82	2.747438	2.156971	-0.425638
83	2.164001	4.528240	3.363490
84	5.667058	0.820226	-0.143845
85	5.277771	-3.520829	-1.444540
86	6.217587	0.483197	1.127870
87	6.541666	1.170028	5.473649
88	3.322500	4.785002	5.331704
89	3.219170	6.873904	2.553995
90	3.598072	4.672541	-1.865260
91	6.941361	1.524594	2.049127
92	3.040916	2.911480	1.005222
93	6.375982	5.050945	0.932748
94	6.117020	5.811595	-0.860601
95	2.771215	6.740060	-4.169375
96	3.849115	4.660054	-5.599566
97	5.455227	4.003505	-4.587987
98	6.286013	2.156238	-5.937029
99	3.880678	3.531804	-4.472554
100	0.836042	1.446683	-8.981205
101	-2.125302	1.899878	-8.201605
102	-1.656006	2.428827	-7.898311
103	-2.290218	5.253929	-6.507074
104	-0.686622	1.974469	-5.598327
105	-0.286414	3.862590	-6.908826
106	3.251098	5.489529	-2.545563
107	-0.074092	1.179820	0.215650
108	-3.458942	3.178563	0.822685
109	-5.441197	2.423264	2.360932
110	-6.143494	2.146023	2.675154
111	-1.711528	-1.089148	0.744504
112	-0.329475	-0.377446	3.911389
113	-2.087853	4.167164	-0.057604
114	-5.062086	3.270481	0.342304
115	-2.227157	0.872989	-3.695804
116	-5.491410	5.264976	-5.824401
117	-6.595918	6.816904	-1.557935
118	-3.422569	6.385497	1.212713
119	-4.858365	6.030562	0.875892
120	-1.348540	4.278929	-2.193539
121	-5.864973	2.962651	-6.520257
122	-5.254724	0.146482	-3.109567
123	-1.294014	-1.262432	-4.307311
124	-0.703570	-5.490248	-7.341782
125	-1.462103	-5.132535	-8.701225
126	-0.852496	-3.009520	-8.106331
127	-2.979173	-4.871566	-11.059189
128	-6.573156	-3.812323	-9.784373
129	-2.124941	-5.868724	-8.188118
130	-1.447439	-2.062393	-4.551355
131	-1.439634	-5.713007	-7.308749
132	-3.578836	-7.856299	-6.306347
133	-5.240451	-9.963201	-4.121499
134	-7.134409	-11.038179	-3.062667
135	-6.554350	-6.637962	-0.996949
136	-3.327839	-8.860316	0.214225
137	-1.496136	-4.896406	-3.663880
138	-4.872501	-3.046878	-5.925572
139	-6.303379	-2.860176	-4.013549
143	1.220393	-1.819588	-0.754403
144	0.260410	-4.210776	3.058274
145	-2.074694	0.181290	1.367863
146	-2.235555	0.709696	5.384060
147	0.975384	-1.987624	2.422413
148	2.801755	-0.875455	1.265909
149	-0.153338	-2.474150	1.724698
150	-1.574549	-1.520213	6.129822
151	0.649583	0.002858	4.804173
152	3.531321	-1.818828	5.893979
153	5.572647	-1.867632	4.830716
154	1.212770	-5.033206	1.196639
155	1.287315	-2.739405	-1.180823
156	-1.406581	-1.269774	-0.796408
157	-2.086941	-2.032362	-3.705201
158	2.169743	-4.693885	-1.141805
159	6.231593	-0.516960	-3.778169
160	4.158595	1.919509	-4.023714
161	2.408687	2.183605	-0.520706
162	6.451408	5.136962	1.592584
163	4.985459	1.755364	2.812676
164	6.822858	-1.216179	4.507742
166	2.466170	-3.947402	3.448397
167	6.979418	-2.527376	0.706716
168	3.725509	1.230117	2.469198
169	1.047953	4.743726	4.028061
170	-2.862111	7.359817	1.021771
171	-6.744483	5.302353	-0.476497
172	-6.294453	2.155953	-4.952358
173	-5.161152	-0.992397	-5.097810
174	-3.577856	2.411807	-0.803529
175	-3.486534	-1.167527	-0.014299
176	-1.019274	-3.591243	-0.048408
177	-2.603293	-1.151172	-0.975574
178	-1.456825	-1.274756	0.155260
179	2.457274	-0.361186	-0.598975
180	-2.022086	1.389698	-1.563202
181	2.373396	-1.247171	0.784210
182	0.291726	-4.856696	2.723912
183	1.542773	-6.035247	-0.292357
184	5.910425	-2.480621	2.649349
185	3.676568	1.640741	5.711848
186	6.375211	2.205075	6.908415
187	7.096230	2.814147	6.946206
188	4.830161	-1.519795	6.964431
189	0.399346	2.577570	4.378455
190	-0.353271	-1.875657	0.635957
191	-1.396181	-6.099821	2.408809
192	-3.308177	-3.918457	0.131020
193	-0.903442	-2.818817	3.462256
194	2.401121	-5.931348	-1.053330
195	6.551303	-5.955892	-3.410717
196	5.125235	-1.624739	-7.069482
197	5.315117	1.787611	-11.222133
198	6.773865	0.731500	-9.800204
199	5.709850	0.783104	-10.460150
